
set ORIG := Coullard Hazen Hopp Hurter Jones Mehrotra
            Rieders Spearman Sun Tamhane Zazanis ;

set DEST := 1021 1049 1053 1055 1083 1087 2009 2019 2053 2083 2087;

param supply default 1 ;
param demand default 1 ;

param cost:
          1021 1049 1053 1055 1083 1087 2009 2019 2053 2083 2087 :=
 Coullard   6    9    8    7   11   10    4    5    3    2    1
 Hazen     11    8    7    6    9   10    1    5    4    2    3
 Hopp       9   10   11    1    5    6    2    7    8    3    4
 Hurter    11    9    8   10    6    5    1    7    4    2    3
 Jones      3    2    8    9   10   11    1    5    4    6    7
 Mehrotra  11    9   10    5    3    4    6    7    8    1    2
 Rieders    6   11   10    9    8    7    1    2    5    4    3
 Spearman  11    5    4    6    7    8    1    9   10    2    3
 Sun       11    9   10    8    6    5    7    3    4    1    2
 Tamhane    5    6    9    8    4    3    7   10   11    2    1
 Zazanis   11    9    8    4    6    5    3   10    7    2    1 ;
