,NLP,MINLP,Global [#]_,|mp|
:ref:`knitro`,|y|,|y|,|n|,|y| [#mp2nl]_
:ref:`baron`,|y|,|y|,|y|,|y|
:ref:`lindo-global-solver`,|y|,|y|,|y|,|y| [#mp2nl]_
:ref:`raposa`,|y|,|y|,|y|,|y| [#mp2nl]_
:ref:`lgo`,|y|,|n|,|y|,|y| [#mp2nl]_
:ref:`conopt`,|y|,|n|,|n|,|y| [#mp2nl]_
:ref:`loqo`,|y|,|n|,|n|,|y| [#mp2nl]_
:ref:`minos`,|y|,|n|,|n|,|y| [#mp2nl]_
:ref:`snopt`,|y|,|n|,|n|,|y| [#mp2nl]_
:ref:`ipopt`,|y|,|n|,|n|,|y| [#mp2nl]_
:ref:`bonmin`,|y|,|y|,|n|,|y| [#mp2nl]_
:ref:`couenne`,|y|,|y|,|y|,|y| [#mp2nl]_
